시구,설치장소,주소,급속충전기(대),완속충전기(대)
전체,한일우호관,대구광역시 달성군 가창면 우록리 175-1,1 ,0 
전체,호반베르디움더클래스,대구광역시 달성군 유가면 테크노대로5길 80,1 ,3 
전체,화원명곡공원,대구광역시 달성군 화원읍 인흥1길 12,1 ,0 
전체,화원태왕리더스,대구광역시 달성군 화원읍 화원로3길 66,0 ,3 
전체,화원태왕타운,대구광역시 달성군 화원읍 성화로4길 13,1 ,3 
전체,힐데스하임,대구광역시 달성군 유가면 테크노북로9길 42,1 ,0 
전체,담양월산농협,전라남도 담양군 월산면 월산리 455-1,1 ,0 
전체,담양지사,전라남도 담양군 담양읍 백동리 348-1,1 ,2 
전체,대덕면사무소,전라남도 담양군 대덕면 매산리 94,1 ,0 
전체,메타세쿼이아길,전라남도 담양군 담양읍 학동리 40-16,1 ,0 
전체,전라남도담양교육지원청,전라남도 담양군 담양읍 강쟁리 176-6,1 ,0 
전체,기지시줄다리기박물관,충청남도 당진시 송악읍 기지시리 49-1,1 ,0 
전체,농어촌공사 당진지사,충청남도 당진시 읍내동 306-8,2 ,0 
전체,당진 왜목마을 주차장,충청남도 당진시 석문면 교로리 847-71,1 ,0 
전체,당진1차푸르지오,충청남도 당진시 읍내동 1451,1 ,3 
전체,당진농협 하나로마트,충청남도 당진시 대덕동 376-1,2 ,0 
전체,당진롯데캐슬 아파트,충청남도 당진시 송악읍 반촌리 987,1 ,2 
전체,당진신평LIG리가 아파트,충청남도 당진시 신평면 금천리 1642,1 ,2 
전체,당진지사,충청남도 당진시 천변2길 123,1 ,1 
전체,당진하늘채,충청남도 당진시 읍내동 1061,1 ,2 
전체,대덕마을5단지,충청남도 당진시 대덕동 1875,1 ,1 
전체,대호지면사무소,충청남도 당진시 대호지면 조금리 183,1 ,0 
전체,삼성쉐르빌 아파트,충청남도 당진시 채운동 1117,1 ,2 
전체,삽교호관광지,충청남도 당진시 신평면 삽교천길 90-3 (운정리),1 ,0 
전체,솔뫼성지,충청남도 당진시 우강면 송산리 108,1 ,0 
전체,송산청광플러스원아파트,충청남도 당진시 송산면 송산로 864-10,0 ,2 
전체,송악e편한세상 아파트,충청남도 당진시 송악읍 가학리 690,1 ,2 
전체,신성미소지움2단지,충청남도 당진시 송악읍 복운리 1629-2,1 ,2 
전체,원당이안 아파트,충청남도 당진시 원당동 1257,1 ,3 
전체,정미면주민자치센터 주차장,충청남도 당진시 정미면 천의리 289-11,1 ,0 
전체,채운공원휴먼빌,충청남도 당진시 채운동 1124,1 ,1 
전체,청광플러스원,충청남도 당진시 읍내동 당진중앙2로 184,0 ,2 
전체,충청남도 당진교육지원청,충청남도 당진시 대덕동 1807,1 ,0 
전체,대전대덕구청 주차장,대전광역시 대덕구 대전로 1033번길 20,2 ,0 
전체,송촌공영주차장,대전광역시 대덕구 송촌동 478-2,1 ,0 
전체,송촌주민센터 공영주차장,대전광역시 대덕구 송촌동 460-2,1 ,0 
전체,행복한마을 아파트,대전광역시 대덕구 평촌동 540-1,1 ,2 
전체,대상타운현대아파트,서울특별시 도봉구 방학동 720-1,1 ,2 
전체,도깨비시장 공영주차장,서울특별시 도봉구 방학동 632-1,1 ,0 
전체,도봉구민회관,"서울특별시 도봉구 도봉로 552 (창동, 도봉구민회관)",1 ,0 
전체,도봉구청,"서울특별시 도봉구 마들로 656 (방학동, 도봉구청)",1 ,0 
전체,도봉서원 아파트,서울특별시 도봉구 마들로 684-20,2 ,0 
전체,도봉현대성우 아파트,서울특별시 도봉구 마들로 735-8,1 ,1 
전체,동아에코빌 아파트,서울특별시 도봉구 도봉동 도봉로180길 6-23,1 ,2 
전체,동아청솔아파트,서울특별시 도봉구 창동 노해로69길 103,2 ,3 
전체,방학3동 주민센터,서울특별시 도봉구 방학동 498-16,1 ,0 
전체,방학4단지신동아,서울특별시 도봉구 방학동 방학로 200,1 ,2 
전체,방학5단지 신동아 아파트,서울특별시 도봉구 방학동 방학로12길 53,0 ,2 
전체,방학극동 아파트,서울특별시 도봉구 시루봉로 11길 25-8,1 ,0 
전체,방학금광포란재,서울특별시 도봉구 방학동 도봉로150바길 26,0 ,2 
전체,방학명품ESA2단지,서울특별시 도봉구 방학동 도봉로150길 43,0 ,2 
전체,방학우성1차 아파트,서울특별시 도봉구 방학동 해등로 286-5,1 ,3 
전체,북한산코오롱하늘채 아파트,서울특별시 도봉구 우이천로 367,1 ,2 
전체,서울가든 아파트,서울특별시 도봉구 도봉동 도봉산길 35,1 ,2 
전체,쌍문미라보아파트,"서울특별시 도봉구 시루봉로2길 62 (쌍문동, 쌍문미라보아파트)",0 ,1 
전체,쌍문염광 아파트,서울특별시 도봉구 쌍문동 우이천로30길 28,0 ,2 
전체,쌍문한양6차 아파트,서울특별시 도봉구 시루봉로 58,1 ,3 
전체,쌍문현대2차 아파트,서울특별시 도봉구 시루봉로 6길53,0 ,1 
전체,창3동 주민센터,서울특별시 도봉구 창동 462-2,1 ,0 
전체,창동2차현대아파트,서울특별시 도봉구 창동 도봉로136길 111,1 ,2 
전체,창동3차현대아파트,서울특별시 도봉구 창동 도봉로 428,0 ,2 
전체,창동대동 아파트,서울특별시 도봉구 창동 도봉로 642-30,0 ,2 
전체,창동대우아파트,"서울특별시 도봉구 덕릉로63가길 43 (창동, 창동대우아파트)",1 ,0 
전체,창동수산트리플 아파트,서울특별시 도봉구 창동 우이천로20길 6,0 ,2 
전체,창동쌍용 아파트,서울특별시 도봉구 창동 마들로 551,1 ,0 
전체,창동주공18단지아파트,"서울특별시 도봉구 노해로70길 126 (창동, 주공18단지아파트)",1 ,0 
전체,창동주공19단지,서울특별시 도봉구 창동 노해로 403,2 ,2 
전체,창동한승미메이드 아파트,서울특별시 도봉구 덕릉로 60길 164-13,1 ,1 
전체,창동한신 아파트,서울특별시 도봉구 창동 덕릉로60바길 21,0 ,1 
전체,한일병원,서울특별시 도봉구 쌍문동 388-1,1 ,0 
전체,홈플러스 방학점,서울특별시 도봉구 도봉로 678,1 ,0 
전체,효성하이타운,서울특별시 도봉구 방학동 방학로11길 33,0 ,2 
전체,Green Pole(화신칼라1),부산광역시 동구 범일동 830-15,0 ,1 
전체,Green Pole(화신칼라2),부산광역시 동구 범일동 830-72,0 ,1 
전체,MS카오디오,대구광역시 동구 용계동 942-3,1 ,0 
전체,e편한세상 세계육상선수촌2단지,"대구광역시 동구 안심로16길 71 (율하동, e편한세상세계육상선수촌2단지)",1 ,3 
전체,각산태영데시앙,대구광역시 동구 각산동 905,1 ,2 
전체,각산푸르지오1단지 아파트,"대구광역시 동구 경안로 824 (각산동, 각산 푸르지오 1단지)",1 ,1 
전체,각산푸르지오2단지,"대구광역시 동구 경안로 822 (각산동, 각산 푸르지오 2단지)",1 ,1 
전체,강변동서마을관리사무소,대구광역시 동구 용계동 471-1,0 ,5 
전체,광주전남지방병무청,광주광역시 동구 학동 69,1 ,0 
전체,궁동공영주차장,광주광역시 동구 궁동 15,1 ,0 
전체,금남배전스테이션,광주광역시 동구 금남로4가 81-1,1 ,0 
전체,남해지방해양경찰청,부산광역시 동구 좌천동 68-889,2 ,0 
전체,대구공항,"대구광역시 동구 공항로 221 (지저동, 대구국제공항)",5 ,0 
전체,대구혁신LH이노힐즈,"대구광역시 동구 메디밸리로 35 (사복동, 대구혁신엘에이치이노힐즈)",1 ,2 
전체,대구혁신센텀힐즈,대구광역시 동구 대림동 887,1 ,0 
전체,대성하이웨이주유소,대구광역시 동구 신천동 148-3,1 ,0 
전체,대전동구청 주차장,대전광역시 동구 동구청로 147,2 ,0 
전체,대전충남직할,대전광역시 동구 용전동 9-7,2 ,13 
전체,동구생활문화센터,대전광역시 동구 가오동 559-1,1 ,0 
전체,동구청앞 공영주차장,인천광역시 동구 금곡동 55-5,1 ,0 
전체,동대구유성푸르나임 아파트,"대구광역시 동구 동부로22길 48 (신천동, 유성푸르나임)",1 ,0 
전체,동대구지사,대구광역시 동구 효목동 626,2 ,7 
전체,동산휴먼시아1단지 아파트,인천광역시 동구 송림동 342,1 ,2 
전체,동울산종합시장 공영주차장,울산광역시 동구 전하동 647-1,2 ,0 
전체,동화해오름타운,대구광역시 동구 신서동 538-1,0 ,3 
전체,롯데아울렛 이시아폴리스점,대구광역시 동구 봉무동 1545,2 ,0 
전체,무등파크맨션3차,광주광역시 동구 운림동 628,0 ,2 
전체,바흐카운티,인천광역시 동구 송림동 230-6,0 ,2 
전체,방촌천 복개주차장,대구광역시 동구 검사동 955-21,1 ,0 
전체,부산항국제여객터미널,부산광역시 동구 초량동 45-39,1 ,0 
전체,서림초교 뒤 공영주차장,인천광역시 동구 송림동 61-8,1 ,0 
전체,소태한국아델리움아파트,광주광역시 동구 소태동 761-3,0 ,3 
전체,송림진로 아파트,인천광역시 동구 송림동 94-11,0 ,2 
전체,송림휴먼시아1단지 아파트,인천광역시 동구 송림동 341,1 ,3 
전체,시민안전테마파크,대구광역시 동구 용수동 89,1 ,1 
전체,신동아파밀리에 아파트,대전광역시 동구 홍도동 동산초교로 46,1 ,0 
전체,신암뜨란채,"대구광역시 동구 아양로7길 12 (신암동, 신암뜨란채)",1 ,2 
전체,신천자이아파트,대구광역시 동구 신천동 1503,1 ,0 
전체,신천휴먼시아5단지,"대구광역시 동구 동부로 26 (신천동, 신천휴먼시아5단지)",1 ,2 
전체,아침마을 아파트,대전광역시 동구 우암로192,1 ,2 
전체,영조아름다운나날1단지,"대구광역시 동구 안심로 402 (신서동, 영조아름다운나날1단지)",1 ,3 
전체,운림글로벌,광주광역시 동구 운림동 689,0 ,2 
전체,운림라인2차 아파트,광주광역시 동구 운림동 654,1 ,2 
전체,울산대교 전망대 공영주차장,울산광역시 동구 방어동 산 410-1,1 ,0 
전체,월남 호반베르디움2차,광주광역시 동구 월남동 638,0 ,5 
전체,월남공용차고지,광주광역시 동구 월남동 177,2 ,0 
전체,율하우방아이유쉘,"대구광역시 동구 금호강변로3길 22 (율하동, 우방아이유쉘아파트)",1 ,3 
전체,율하휴먼시아12단지,"대구광역시 동구 금호강변로 315 (율하동, 율하 휴먼시아12단지)",1 ,2 
전체,은어송3단지,대전광역시 동구 가오동 496,1 ,2 
전체,은어송마을2단지 아파트,대전광역시 동구 대성동 동구청로 35,1 ,2 
전체,이마트 반야월점,대구광역시 동구 신서동 520-1,1 ,0 
전체,이시아폴리스더샵1차,"대구광역시 동구 팔공로53길 10 (봉무동, 이시아폴리스 더샵 1차)",1 ,2 
전체,이시아폴리스더샵3차,"대구광역시 동구 팔공로51길 10 (봉무동, 이시아폴리스 더샵 3차)",2 ,2 
전체,전기공사협회 주차장,대전광역시 동구 한밭대로 1289,1 ,0 
전체,전남대병원 주차타워,광주광역시 동구 학동 8,2 ,0 
전체,전하시장 공영주차장,울산광역시 동구 전하동 449-10,1 ,0 
전체,진로이스트타운,대구광역시 동구 효목동 55,1 ,2 
전체,천동휴먼시아2단지,"대전광역시 동구 대전로542번길 78-1 (천동, 휴먼시아2단지아파트)",1 ,0 
전체,천일맨션,대구광역시 동구 신기동 555,0 ,1 
전체,태왕그린힐즈,"대구광역시 동구 파계로 46 (지묘동, 태왕그린힐즈)",1 ,2 
전체,태왕메트로시티,"대구광역시 동구 동북로 500 (효목동, 태왕메트로시티)",2 ,2 
전체,한국폴리텍Ⅳ대학 대전캠퍼스,대전광역시 동구 가양동 91-2,2 ,0 
전체,혁신도시서한이다음4차,대구광역시 동구 숙천동 388,0 ,5 
전체,혁신서한이다음3차,대구광역시 동구 대림동 885,1 ,2 
전체,협화문화아파트,대구광역시 동구 검사동 1021,0 ,1 
전체,홈플러스 광주계림점,광주광역시 동구 계림동 505-900,1 ,0 
전체,홈플러스 대전가오점,대전광역시 동구 은어송로 72,1 ,0 
전체,홈플러스 동촌점,"대구광역시 동구 동촌로 127 (검사동, 홈플러스)",1 ,0 
전체,답십리래미안위브1블럭,서울특별시 동대문구 답십리로 130,1 ,2 
전체,답십리래미안위브2블럭,서울특별시 동대문구 답십리로 130,1 ,2 
전체,동일스위트리버,서울특별시 동대문구 휘경동 366,1 ,0 
전체,래미안엘파인 아파트,서울특별시 동대문구 답십리동 한천로37길 33,1 ,2 
전체,배봉공영주차장,서울특별시 동대문구 망우로 18나길 20,2 ,0 
전체,브라운스톤휘경,서울특별시 동대문구 휘경동 망우로20길 86,1 ,0 
전체,이문쌍용아파트,서울특별시 동대문구 이문동 한천로58길 47,1 ,2 
전체,장안힐스테이트 아파트,서울특별시 동대문구 장안동 장안벚꽃로1길 7,1 ,2 
전체,전농sk 아파트,서울특별시 동대문구 전농동 10,2 ,0 
전체,청량리역사(한화역사),"서울특별시 동대문구 왕산로 214 (전농동, 청량리역,롯데백화점)",2 ,0 
전체,청솔우성,서울특별시 동대문구 답십리동 80,1 ,1 
전체,회기동 공영주차장,서울특별시 동대문구 회기동 1-1,2 ,0 
전체,휘경베스트빌현대,서울특별시 동대문구 휘경동 52,1 ,1 
전체,휘경주공1단지,서울특별시 동대문구 휘경동 57,1 ,4 
전체,힐스테이트청계,서울특별시 동대문구 답십리동 465-18,1 ,0 
전체,동두천 송내주공3단지,경기도 동두천시 송내동 664-6,1 ,3 
전체,동두천 휴먼시아 아파트,경기도 동두천시 생연동 831,1 ,1 
전체,동두천국민체육센터,경기도 동두천시 탑동동 799,2 ,0 
전체,동두천부영6단지 아파트,경기도 동두천시 생연동 715-7,1 ,1 
전체,동두천시민회관,경기도 동두천시 상패동 122,2 ,0 
전체,동두천시종합운동장,경기도 동두천시 생연동 70,2 ,0 
전체,동두천월드메르디앙,경기도 동두천시 생연동 231,1 ,1 
전체,동두천지사,경기도 동두천시 평화로 2262,1 ,0 
전체,소요별앤숲테마파크,경기도 동두천시 상봉암동 15,1 ,0 
전체,송내주공5단지,경기도 동두천시 송내동 696-3,1 ,2 
전체,동래센트럴파크하이츠2단지,부산광역시 동래구 명륜동 756-1,1 ,3 
전체,동래지사,부산광역시 동래구 안락동 451-10,0 ,5 
전체,동래화목타운,부산광역시 동래구 안락동 962,1 ,1 
전체,명륜쌍용예가,부산광역시 동래구 명륜동 753,0 ,2 
전체,명륜역,부산광역시 동래구 명륜동 741,1 ,0 
전체,명장삼성타운,부산광역시 동래구 명장동 63-9,1 ,1 
전체,사직 삼환나우빌,부산광역시 동래구 사직동 1019,1 ,0 
